OBJECTID,Name,Baujahr,Gesamtleistung (MW),Anzahl,Typ (WKA),Ort,Landkreis,Breitengrad,Längengrad,Projektierer / Betreiber,Bemerkungen,,,,,,,
1,Windpark Wittighausen,2002,5.94,9,Vestas V47-660kW (9×),Unterwittighausen,TBB,49.6197,9.8028,UMaAG,Am 17.3.2019 brach durch das Sturmtief Eberhard bei einer Anlage ein Flügel ab. Die Anlage wurde nicht repariert. Der Windpark ist derzeit außer betrieb.,,,,,,,
2,Windpark Wiesensteig,1999,4.5,6,NEG Micon NM 48/750 (6×),Wiesensteig,GP,48.5514,9.6197,SoWiTec,,,,,,,,
3,Windpark Westerheim,1998,4.5,3,Südwind S70 (1×),Westerheim,UL,48.5342,9.6256,"Alb-Windkraft, EnBW Energie Baden-Württemberg",eine NEG Micon NM 48/600 2020 abgebaut,,,,,,,
4,Windpark Westerheim,2001,,,REpower MD77 (2×),,,48.5342,9.6256,,,,,,,,,
5,Windpark Westerheim,2002,,,,,,48.5342,9.6256,,,,,,,,,
6,Windpark Westerheim,2020,,,,,,48.5342,9.6256,,,,,,,,,
7,Windpark Werdeck,2017,9.9,3,Vestas V126-3.3MW (3×),Werdeck,SHA,49.2319,9.9467,,,,,,,,,
8,Windpark Werbachhausen,2012,6.3,3,Enercon E-82 (2×),Werbachhausen,TBB,49.6711,9.7033,"Windreich, Energie Bals, W-I-N-D Energien",,,,,,,,
9,Windpark Werbachhausen,,,,Enercon E-82 E2 (1×),,,49.6711,9.7033,,,,,,,,,
10,Windpark Wenkheim,2007,18,9,Vestas V80-2.0MW (9×),Wenkheim,TBB,49.7086,9.6853,"Energiequelle, UMaAG",,,,,,,,
11,Windpark Weißbach,2001,18.5,7,NEG Micon NM 60/1000 (2×),Crispenhofen,KÜN,49.3231,9.5753,"Specht Windkraft, Bürger-WP Hohenlohe",,,,,,,,
12,Windpark Weißbach,2016,,,Vestas V126-3.3MW (5×),,,49.3231,9.5753,,,,,,,,,
13,Windpark Weilermerkingen-Ohmenheim,2007,22.65,9,REpower MM92 (3×),Weilermerkingen,AA,48.7911,10.3503,WP Weilermerkingen, WP Ohmenheim,6239489.4837,,,,,,
14,Windpark Weilermerkingen-Ohmenheim,2016,,,GE Wind Energy 2.75-120 (6×),Ohmenheim,,48.7911,10.3503,,,,,,,,,
15,Windpark Wallhausen,2011,7.6,4,Enercon E-53 (2×),Schainbach,SHA,49.2364,10.0525,Stollmeier,,,,,,,,
16,Windpark Wallhausen,2018,,,Enercon E-115 (2×),,,49.2364,10.0525,,,,,,,,,
